codigo_participante,codigo_subtema,subtema,valor,cita_literal,archivo_fuente,criterio
EV2-PAC-01,SUB-01,Adherencia y recordatorios,1,"Algunas veces me olvido. O sea, me olvido de las veces que me olvido. Pero toca hacerlos.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-01,SUB-02,Instrucciones y dosificación,1,"Algunas veces me olvido. O sea, me olvido de las veces que me olvido.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-01,SUB-04,Supervisión y corrección de ejecución,1,"O sea, no es lo mismo que estar la licenciada a continuación de uno haciendo ejercicio.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-01,SUB-05,Registro de dolor y fatiga,1,"El dolor, hermano.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-01,SUB-06,Seguimiento del progreso,1,"Sí, siempre ha estado bien. Viendo que entre más tiempo, más mejor y así hay bastante.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-01,SUB-07,Comunicación con fisioterapeuta,1,Tener un seguimiento como que el terapia le explique más o le lleve el seguimiento.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-01,SUB-08,Privacidad de cámara y datos,1,Datos personales.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-01,SUB-09,Acceso familiar autorizado,1,Familia y la persona que da las terapias.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-03,SUB-01,Adherencia y recordatorios,1,"Bueno, a veces sí me olvidaba, no que me olvidaba sino que dijo era vaga para hacer.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-03,SUB-02,Instrucciones y dosificación,1,"Repeticiones, por lo general, siempre ella dice 10 repeticiones y por qué siguió una media horita haciendo los ejercicios.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-03,SUB-03,Apoyo audiovisual,1,"En este caso sería los videos, sería un apoyo importante.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-03,SUB-05,Registro de dolor y fatiga,1,"siempre te decía ""dime qué intensidad del dolor"" entonces se ponían como decir del 1 al 10",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-03,SUB-06,Seguimiento del progreso,1,"Sí, porque me daba cuenta que sí estaba, dijo, por el que ya se menoran el dolor más que todo",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-03,SUB-07,Comunicación con fisioterapeuta,1,"una llamada telefónica, si le da un mensajito de cómo va avanzando. Creo que sería la comunicación.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-03,SUB-08,Privacidad de cámara y datos,1,De pronto los datos personales.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-03,SUB-09,Acceso familiar autorizado,1,Yo creo que las tres personas porque es importante que el familiar esté como va avanzando uno.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-04,SUB-01,Adherencia y recordatorios,1,"Aquí en la casa yo la verdad que no lo hago bien, no lo hago completo.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-04,SUB-04,Supervisión y corrección de ejecución,1,"Es que yo por eso ahorita mejor me voy allá, porque digo, allá ella está media hora conmigo",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-04,SUB-05,Registro de dolor y fatiga,1,"Bueno, ella sí me pregunta, ¿está cansada? Sí, está cansada.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-05,SUB-01,Adherencia y recordatorios,1,Técnicamente sí me he olvidado de realizarlas en algún momento por el hecho de que la persona pasa en ocupada en un momento u otro y se los olvida.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-05,SUB-02,Instrucciones y dosificación,1,Me recomendaron realizar lo de los pies por lo menos unos tres días a la semana y para lo de la espalda tanto al despertarme y al acostarme.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-05,SUB-03,Apoyo audiovisual,1,Me ponía a buscar lo que iban a hacer videos por ahí en lo que iban a hacer en internet para poder recordar cuál ejercicio era,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-05,SUB-04,Supervisión y corrección de ejecución,1,"los ejercicios que los vaya revisando de forma correcta, de que los haga en el momento adecuado",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-05,SUB-05,Registro de dolor y fatiga,1,"El dolor y la dificultad, eso lo considero muy importante.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-05,SUB-06,Seguimiento del progreso,1,El dato que me permitía eso era el de que por un tiempo el dolor había desaparecido,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-05,SUB-08,Privacidad de cámara y datos,1,"los videos, porque si se lleva un seguimiento a cabo no hay que mostrar a terceras personas",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-05,SUB-09,Acceso familiar autorizado,1,"ya si en caso lo autoriza el paciente un tercero que en el caso de un familiar puede ser la mamá, el papá o los hermanos.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-05,SUB-13,Control profesional de las decisiones,1,"el fisioterapeuta para poder llevar un control, para ver si se aumentan más ejercicios o se disminuyen",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-06,SUB-01,Adherencia y recordatorios,1,Lo único que me salvaba en cumplir los ejercicios eran alarmas que yo ponía días antes,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-06,SUB-02,Instrucciones y dosificación,1,cada ejercicio tenía que ser una serie de 3 repeticiones 5 veces.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-06,SUB-04,Supervisión y corrección de ejecución,1,Las primeras veces las hacía mal y me hacían doler más lo que es el lumbar.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-06,SUB-05,Registro de dolor y fatiga,1,yo considero registrar el dolor y la dificultad porque ambas van a agarrar de la mano.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-06,SUB-06,Seguimiento del progreso,1,"quisiera haber tenido un seguimiento para saber cuánto me fue mejorando, si me resultó la terapia o no.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-06,SUB-08,Privacidad de cámara y datos,1,"que las imágenes se filtren, que la cámara se encienda cuando yo no la estoy autorizando",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-06,SUB-09,Acceso familiar autorizado,1,si sería menor de edad que un familiar está autorizado en ver mi seguimiento,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-06,SUB-13,Control profesional de las decisiones,1,"el fisioterapeuta para que él vea si es que el ejercicio ya no me está ayudando, me cambia con otros ejercicios",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-06,SUB-16,Priorización y frecuencia de avisos,1,que tenga una notificación que me indique tal hora ya tienes que hacer la rutina,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-01,Adherencia y recordatorios,1,"Me ayudaba en el calendario, el teléfono o el reloj deportivo.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-02,Instrucciones y dosificación,1,"Él me explicaba la técnica, el tiempo y las repeticiones y el descanso, porque lógico tenía que tener un descanso.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-03,Apoyo audiovisual,1,"En ocasiones me envía videos, pero quedaba mezclado con otros mensajes.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
