codigo_participante,codigo_subtema,subtema,valor_anterior,valor_nuevo,accion,justificacion
EV2-PAC-01,SUB-03,Apoyo audiovisual,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-01,SUB-04,Supervisión y corrección de ejecución,0,1,AGREGADA,Se identificó una cita literal suficiente en la transcripción disponible que respalda la definición vigente del subtema.
EV2-PAC-01,SUB-11,Accesibilidad y facilidad de uso,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-01,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-01,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-01,SUB-17,Revocación y gestión de permisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-03,SUB-11,Accesibilidad y facilidad de uso,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-03,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-03,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-03,SUB-17,Revocación y gestión de permisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-04,SUB-02,Instrucciones y dosificación,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-04,SUB-03,Apoyo audiovisual,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-04,SUB-04,Supervisión y corrección de ejecución,0,1,AGREGADA,Se identificó una cita literal suficiente en la transcripción disponible que respalda la definición vigente del subtema.
