fecha,codigo_participante,tipo_sesion,transcripciones_asociadas,nota_campo_asociada,estado,observacion
2026-09-06,EFT-01,Entrevista,TRANSCRIPCIONES_EFT-01_Entrevista.txt,2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-01_Notas.jpeg,Sin nota contemporánea verificable,"La fecha real de redacción declarada para la hoja es 05/09/2026, anterior a la sesión del 06/09/2026. Se conserva como archivo histórico/preparatorio, no como nota de campo contemporánea."
2026-09-07,EFT-02,Entrevista,TRANSCRIPCIONES_EFT-02_Entrevista.txt,2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-02_Notas.jpeg,Fecha de redacción declarada coincidente con la sesión,El equipo declaró 07/09/2026 como fecha de redacción; la incorporación al repositorio fue el 13/09/2026. No se afirma verificación independiente de contemporaneidad.
2026-09-06,EFT-03,Entrevista,TRANSCRIPCIONES_EFT-03_Entrevista.txt,2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-03_Notas.jpeg,Fecha de redacción declarada coincidente con la sesión,El equipo declaró 06/09/2026 como fecha de redacción; la incorporación al repositorio fue el 13/09/2026. No se afirma verificación independiente de contemporaneidad.
2026-09-07,FAM-01,Entrevista,TRANSCRIPCIONES_FAM-01_Entrevista.txt,2026-06-17_Entrevista_Familiar_Cuidador_FAM-01_Notas.jpeg,Fecha de redacción declarada coincidente con la sesión,El equipo declaró 07/09/2026 como fecha de redacción; la incorporación al repositorio fue el 13/09/2026. No se afirma verificación independiente de contemporaneidad.
2026-09-07,FAM-02,Entrevista,TRANSCRIPCIONES_FAM-02_Entrevista.txt,2026-06-17_Entrevista_Familiar_Cuidador_FAM-02_Notas.jpeg,Fecha de redacción declarada coincidente con la sesión,El equipo declaró 07/09/2026 como fecha de redacción; la incorporación al repositorio fue el 13/09/2026. No se afirma verificación independiente de contemporaneidad.
2026-09-07,FAM-03,Entrevista,TRANSCRIPCIONES_FAM-03_Entrevista.txt,2026-06-17_Entrevista_Familiar_Cuidador_FAM-03_Notas.jpeg,Fecha de redacción declarada coincidente con la sesión,El equipo declaró 07/09/2026 como fecha de redacción; la incorporación al repositorio fue el 13/09/2026. No se afirma verificación independiente de contemporaneidad.
2026-09-17,FAM-04,Entrevista,TRANSCRIPCIONES_FAM-04_Entrevista.txt,SIN_NOTA_CONTEMPORANEA_VALIDA,Sin nota contemporánea válida,"El archivo histórico con prefijo 2026-06-17 ya estaba en el repositorio el 13/09/2026, antes de la entrevista real del 17/09/2026, y resumía una transcripción que no correspondía al audio. No se utiliza como evidencia de la sesión."
2026-09-07,FIS-01,Entrevista,TRANSCRIPCIONES_FIS-01_Entrevista.txt,2026-06-17_Entrevista_Fisioterapeuta_FIS-01_Notas.jpeg,Fecha de redacción declarada coincidente con la sesión,El equipo declaró 07/09/2026 como fecha de redacción; la incorporación al repositorio fue el 13/09/2026. No se afirma verificación independiente de contemporaneidad.
2026-07-19,EV2-PAC-03,Walkthrough,TRANSCRIPCIONES_EV2-PAC-03_Walkthrough.txt,2026-07-19_Walkthrough_Paciente_EV2-PAC-03_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,"La fecha real del walkthrough es 19/07/2026. La fecha 13/07/2026 registrada anteriormente era incorrecta. La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original."
2026-07-19,EV2-PAC-01,Walkthrough,TRANSCRIPCIONES_EV2-PAC-01_Walktrough.txt,2026-07-19_Walkthrough_Paciente_EV2-PAC-01_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,"La fecha real del walkthrough es 19/07/2026. La fecha 14/07/2026 registrada anteriormente era incorrecta. La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original."
