codigo_participante,codigo_subtema,subtema,valor,cita_literal,archivo_fuente,justificacion
EV2-PAC-07,SUB-01,Adherencia y recordatorios,1,"Me ayudaba en el calendario, el teléfono o el reloj deportivo.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Evidencia directa de apoyos usados para recordar/cumplir ejercicios.
EV2-PAC-07,SUB-02,Instrucciones y dosificación,1,"Él me explicaba la técnica, el tiempo y las repeticiones y el descanso, porque lógico tenía que tener un descanso.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,"Describe técnica, tiempo, repeticiones y descanso."
EV2-PAC-07,SUB-03,Apoyo audiovisual,1,"En ocasiones me envía videos, pero quedaba mezclado con otros mensajes.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Existe uso explícito de videos como apoyo para la rutina.
EV2-PAC-07,SUB-04,Supervisión y corrección de ejecución,1,"Sin supervisión podía compensar el movimiento con la otra pierna o no darme cuenta de más, porque él avanzaba o a veces aumentaba la intensidad más de lo indicado.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Describe riesgo de ejecución incorrecta sin supervisión.
EV2-PAC-07,SUB-05,Registro de dolor y fatiga,1,"Registraría dolor, inflamación, rango de movimiento, estabilidad, tiempo de la rutina, los ejercicios completados y comentarios.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Menciona explícitamente el registro de dolor y otras variables posteriores a la rutina.
EV2-PAC-07,SUB-06,Seguimiento del progreso,1,"Me habría servido comparar el dolor, la estabilidad y el rango de movimiento semana a semana.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Describe comparación longitudinal del progreso.
EV2-PAC-07,SUB-07,Comunicación con fisioterapeuta,1,"Podría mejorar la organización de las rutinas por fase, el intercambio de información con el fisioterapeuta, el sistema debería permitir que el profesional revise los registros y ajuste el plan sin que la aplicación cambie el tratamiento por sí sola.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Solicita intercambio de información y revisión profesional de registros.
EV2-PAC-07,SUB-08,Privacidad de cámara y datos,1,También quisiera saber si la cámara analiza el movimiento en el dispositivo o si envía las imágenes a otro lugar.,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Expresa preocupación sobre procesamiento y envío de imágenes.
EV2-PAC-07,SUB-09,Acceso familiar autorizado,1,"Un entrenador podría ver únicamente un resumen de actitud o restricciones, pero solo si yo lo autorizo.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Define acceso limitado de un tercero condicionado a autorización del participante.
EV2-PAC-07,SUB-10,Seguridad y señales de alarma,1,"Me serviría temporizadores, un contador de repeticiones, vídeos con errores comunes, gráficas de progreso y una alerta cuando reporte dolor por encima del límite indicado.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Propone una alerta basada en un umbral de dolor.
EV2-PAC-07,SUB-11,Accesibilidad y facilidad de uso,0,,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,"No se identificó una cita literal suficiente sobre lenguaje, legibilidad, botones, navegación o alternativas de accesibilidad."
EV2-PAC-07,SUB-12,Organización centralizada,1,"También notaba los resultados, aunque no tenía un solo lugar donde relacionar el dolor, el tiempo y el ejercicio realizado.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Expresa necesidad de reunir información actualmente dispersa.
EV2-PAC-07,SUB-13,Control profesional de las decisiones,1,el sistema debería permitir que el profesional revise los registros y ajuste el plan sin que la aplicación cambie el tratamiento por sí sola.,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Mantiene la decisión de ajuste del plan bajo control profesional.
EV2-PAC-07,SUB-14,Explicabilidad e incertidumbre,0,,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,"No se identificó una cita literal suficiente sobre razones, evidencia o incertidumbre de una recomendación automatizada."
EV2-PAC-07,SUB-15,Vigencia y versiones de rutinas,1,"En ocasiones me envía videos, pero quedaba mezclado con otros mensajes. Era difícil saber cuál correspondía a la rutina actual.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Expresa dificultad para distinguir la rutina vigente.
EV2-PAC-07,SUB-16,Priorización y frecuencia de avisos,1,"Me serviría temporizadores, un contador de repeticiones, vídeos con errores comunes, gráficas de progreso y una alerta cuando reporte dolor por encima del límite indicado.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Define una condición concreta para emitir una alerta.
EV2-PAC-07,SUB-17,Revocación y gestión de permisos,0,,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,"Hay autorización de acceso a terceros, pero no evidencia literal suficiente sobre revocación, modificación, vencimiento o auditoría de permisos."
