codigo,perfil,actividad,fecha_actividad,reclutamiento_real,vinculo_con_equipo,indicaciones_recibidas,criterio_inclusion_aplicado,criterio_exclusion_aplicado,estado_corpus,evidencia_respaldo,observaciones
EV2-PAC-01,PAC,Entrevista,2026-07-19,Contacto presencial,Amigo de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Paciente o expaciente con experiencia relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EV2-PAC-03,PAC,Entrevista,2026-07-19,Contacto presencial,Conocido de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Paciente o expaciente con experiencia relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EV2-PAC-04,PAC,Entrevista,2026-07-19,Contacto presencial,Amigo de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Paciente o expaciente con experiencia relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EV2-PAC-05,PAC,Entrevista,2026-07-26,WhatsApp,Familiar de Kevin Contreras,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Paciente o expaciente con experiencia relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio, video y enlace de reunión enviado.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EV2-PAC-06,PAC,Entrevista,2026-07-26,WhatsApp,Amigo de Kevin Contreras,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Paciente o expaciente con experiencia relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio, video y enlace de reunión enviado.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EV2-PAC-07,PAC,Entrevista,2026-07-26,WhatsApp,Amigo de Kevin Contreras,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Paciente o expaciente con experiencia relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio, video y conversación de WhatsApp con enlace de reunión.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EV2-PAC-08,PAC,Entrevista,2026-07-26,WhatsApp,Conocido de Kevin Contreras,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Paciente o expaciente con experiencia relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EV2-PAC-09,PAC,Entrevista,2026-07-26,WhatsApp,Familiar de Kevin Contreras,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Paciente o expaciente con experiencia relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio, video y conversación de WhatsApp de solicitud de participación.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EFT-01,EFT,Entrevista,2026-09-06,WhatsApp,Amigo de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Estudiante de fisioterapia al momento de la entrevista.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video; no se conserva el chat de reclutamiento.",El canal de reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EFT-02,EFT,Entrevista,2026-09-07,WhatsApp,Amiga de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Estudiante de fisioterapia al momento de la entrevista.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video; no se conserva el chat de reclutamiento.",El canal de reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
EFT-03,EFT,Entrevista,2026-09-06,WhatsApp,Amigo de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Estudiante de fisioterapia al momento de la entrevista.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video; no se conserva el chat de reclutamiento.",El canal de reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
FAM-01,FAM,Entrevista,2026-09-07,WhatsApp,Amiga de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Familiar o cuidador de una persona relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
FAM-02,FAM,Entrevista,2026-09-07,"Contacto personal presencial, cara a cara",Hermano de Kevin Contreras,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Familiar o cuidador de una persona relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
FAM-03,FAM,Entrevista,2026-09-07,WhatsApp,Amiga de Kevin Contreras,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Familiar o cuidador de una persona relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
FAM-04,PAC,Entrevista,2026-09-17,WhatsApp,Amigo de Kevin Contreras,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Paciente o expaciente con experiencia relacionada con terapia física o rehabilitación.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video.",Código histórico FAM-04 conservado por trazabilidad. Durante la revisión B1 del 20/09/2026 se confirmó que el participante era únicamente paciente/expaciente y no familiar/cuidador. La transcripción continúa sujeta al cotejo literal con el audio original.
FIS-01,FIS,Entrevista,2026-09-07,Contacto presencial,Conocida de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Profesional de fisioterapia al momento de la entrevista.,NINGUNO_DOCUMENTADO,INCLUIDO,"Consentimiento, audio y video.",El reclutamiento y el vínculo previo fueron documentados retrospectivamente por el equipo el 20/09/2026.
WALK-NTEC-01,NTEC,Walkthrough,2026-07-19,Contacto presencial,Conocido de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Usuario no técnico sin formación profesional en fisioterapia.,NINGUNO_DOCUMENTADO,COMPLEMENTARIO,"Consentimiento, audio y video.",Evidencia complementaria; no se contabiliza como entrevista del corpus principal.
WALK-TEC-01,TEC,Walkthrough,2026-07-18,WhatsApp,Conocido de Angelo Zambrano,"Se explicó que correspondía a un proyecto universitario relacionado con terapia física, que la actividad sería grabada y que la participación era voluntaria.",Profesional de fisioterapia con conocimientos técnicos/profesionales aplicables a la validación.,NINGUNO_DOCUMENTADO,COMPLEMENTARIO,"Consentimiento, audio y video.",Evidencia complementaria; no se contabiliza como entrevista del corpus principal.
