Caso_Prueba,Requisito,Requisito_Probado,Fecha_Ejecucion,Resultado,Evidencia,Observacion
CP-01,RF-01,Autenticar usuarios,2026-09-22,NO IMPLEMENTADO,2026-09-22_CP-01_RF-01_AUTENTICACION_NO_IMPLEMENTADA.png,La aplicación permite acceder directamente al panel del fisioterapeuta sin solicitar credenciales ni ejecutar un mecanismo de autenticación.
CP-02,RF-02,Gestionar roles y permisos,2026-09-22,NO IMPLEMENTADO,2026-09-22_CP-02_RF-02_ROLES_PERMISOS_NO_IMPLEMENTADOS.png,"El MVP utiliza aplicaciones separadas para fisioterapeuta y paciente, pero no dispone de usuarios autenticados, administración de roles ni controles reales de permisos o acceso."
CP-03,RF-03,Registrar datos generales del paciente,2026-09-22,APROBADO,2026-09-22_CP-03_RF-03_REGISTRO_PACIENTE.png,Se registró el paciente ficticio Paciente E2 y el registro quedó visible en la lista de pacientes.
CP-04,RF-04,Registrar motivo de consulta,2026-09-22,APROBADO,2026-09-22_CP-04_RF-04_MOTIVO_CONSULTA_ANTES.png,La evaluación permite ingresar y guardar el motivo de consulta del paciente.
CP-06,RF-06,Clasificar condición clínica,2026-09-22,PARCIAL,2026-09-22_CP-06_RF-06_CLASIFICACION_CLINICA_PARCIAL.png,"El MVP permite registrar motivo de consulta, gravedad, dolor, fatiga y movilidad, pero no dispone de una clasificación clínica específica y estructurada de la condición del paciente."
CP-07,RF-07,Clasificar nivel de gravedad,2026-09-22,APROBADO,2026-09-22_CP-04_RF-04_MOTIVO_CONSULTA_ANTES.png,La evaluación inicial permite seleccionar y registrar el nivel de gravedad; durante la prueba se utilizó Moderada.
CP-08,RF-08,Registrar signos vitales,2026-09-22,NO IMPLEMENTADO,2026-09-22_CP-08_RF-08_SIGNOS_VITALES_NO_IMPLEMENTADOS.png,La pantalla de evaluación inicial no dispone de campos funcionales para registrar signos vitales.
CP-09,RF-09,Registrar rangos de movimiento,2026-09-22,APROBADO,2026-09-22_CP-04_RF-04_MOTIVO_CONSULTA_ANTES.png,La evaluación inicial permite registrar rango de movimiento; durante la prueba se ingresó 70% movilidad.
CP-11,RF-11,Registrar nivel de dolor,2026-09-22,APROBADO,2026-09-22_CP-04_RF-04_MOTIVO_CONSULTA_ANTES.png,La evaluación inicial permite registrar nivel de dolor; durante la prueba se ingresó 4/10.
CP-12,RF-12,Registrar nivel de fatiga,2026-09-22,APROBADO,2026-09-22_CP-04_RF-04_MOTIVO_CONSULTA_ANTES.png,La evaluación inicial permite registrar nivel de fatiga; durante la prueba se ingresó 3/10.
