archivo,fecha_sesion_original,fecha_redaccion_declarada,fecha_incorporacion_repositorio,tipo,motivo
2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-01_Notas.jpeg,2026-09-06,2026-09-05,2026-09-13,archivo histórico no válido como nota contemporánea,"El equipo declaró 05/09/2026 como fecha real de redacción. Esa fecha es anterior a la sesión vigente del 06/09/2026, por lo que el archivo no se usa como nota contemporánea de EFT-01. El prefijo 2026-06-17 del nombre es histórico e incorrecto."
2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-02_Notas.jpeg,2026-09-07,2026-09-07,2026-09-13,fecha de redacción declarada coincidente con la sesión,"El equipo declaró 07/09/2026 como fecha real de redacción. El archivo fue incorporado al repositorio el 13/09/2026; el repositorio no aporta por sí solo una prueba independiente de contemporaneidad. El prefijo 2026-06-17 del nombre es histórico e incorrecto."
2026-06-17_Entrevista_Estudiante_Fisioterapia_EFT-03_Notas.jpeg,2026-09-06,2026-09-06,2026-09-13,fecha de redacción declarada coincidente con la sesión,"El equipo declaró 06/09/2026 como fecha real de redacción. El archivo fue incorporado al repositorio el 13/09/2026; el repositorio no aporta por sí solo una prueba independiente de contemporaneidad. El prefijo 2026-06-17 del nombre es histórico e incorrecto."
2026-06-17_Entrevista_Familiar_Cuidador_FAM-01_Notas.jpeg,2026-09-07,2026-09-07,2026-09-13,fecha de redacción declarada coincidente con la sesión,"El equipo declaró 07/09/2026 como fecha real de redacción. El archivo fue incorporado al repositorio el 13/09/2026; el repositorio no aporta por sí solo una prueba independiente de contemporaneidad. El prefijo 2026-06-17 del nombre es histórico e incorrecto."
2026-06-17_Entrevista_Familiar_Cuidador_FAM-02_Notas.jpeg,2026-09-07,2026-09-07,2026-09-13,fecha de redacción declarada coincidente con la sesión,"El equipo declaró 07/09/2026 como fecha real de redacción. El archivo fue incorporado al repositorio el 13/09/2026; el repositorio no aporta por sí solo una prueba independiente de contemporaneidad. El prefijo 2026-06-17 del nombre es histórico e incorrecto."
2026-06-17_Entrevista_Familiar_Cuidador_FAM-03_Notas.jpeg,2026-09-07,2026-09-07,2026-09-13,fecha de redacción declarada coincidente con la sesión,"El equipo declaró 07/09/2026 como fecha real de redacción. El archivo fue incorporado al repositorio el 13/09/2026; el repositorio no aporta por sí solo una prueba independiente de contemporaneidad. El prefijo 2026-06-17 del nombre es histórico e incorrecto."
2026-06-17_Entrevista_Familiar_Cuidador_FAM-04_Notas.jpeg,2026-09-17,NO_DETERMINADA,2026-09-13,archivo histórico no válido como nota contemporánea,"El archivo ya constaba en el repositorio el 13/09/2026, antes de la entrevista real de FAM-04 del 17/09/2026. Además resumía una versión de transcripción que no correspondía al audio revisado. No se usa como nota contemporánea ni como respaldo del contenido de la entrevista corregida en B1."
2026-06-17_Entrevista_Fisioterapeuta_FIS-01_Notas.jpeg,2026-09-07,2026-09-07,2026-09-13,fecha de redacción declarada coincidente con la sesión,"El equipo declaró 07/09/2026 como fecha real de redacción. El archivo fue incorporado al repositorio el 13/09/2026; el repositorio no aporta por sí solo una prueba independiente de contemporaneidad. El prefijo 2026-06-17 del nombre es histórico e incorrecto."
2026-07-19_Walkthrough_Paciente_EV2-PAC-03_Notas.jpeg,2026-07-19,2026-09-17,2026-09-17,síntesis posterior,"La fecha real del walkthrough es 19/07/2026. La fecha 13/07/2026 registrada anteriormente era incorrecta. Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-19_Walkthrough_Paciente_EV2-PAC-01_Notas.jpeg,2026-07-19,2026-09-17,2026-09-17,síntesis posterior,"La fecha real del walkthrough es 19/07/2026. La fecha 14/07/2026 registrada anteriormente era incorrecta. Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
